Source,SourceFile,SourceCreated,SourceModified,SourceAccessed,Filename,RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,Keywords,ExtraDataOffset,Payload,BagPath,Slot,NodeSlot,MRUPosition,AbsolutePath,ShellType,Value,ChildBags,CreatedOn,ModifiedOn,AccessedOn,LastWriteTime,MFTEntry,MFTSequenceNumber,ExtensionBlockCount,FirstInteracted,LastInteracted,HasExplored,Miscellaneous
RecentFileCache,C:\Users\4n6\Desktop\MP2\Input2\RecentFileCache.bcf,2025-02-26 08:18:58,2025-02-20 19:10:05,2025-02-26 08:47:11,c:\program files\windows mail\wab.exe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecentFileCache,C:\Users\4n6\Desktop\MP2\Input2\RecentFileCache.bcf,2025-02-26 08:18:58,2025-02-20 19:10:05,2025-02-26 08:47:11,c:\program files (x86)\windows media player\setup_wm.exe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecentFileCache,C:\Users\4n6\Desktop\MP2\Input2\RecentFileCache.bcf,2025-02-26 08:18:58,2025-02-20 19:10:05,2025-02-26 08:47:11,c:\windows\syswow64\unregmp2.exe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EvtxCmd,C:\Users\4n6\Desktop\MP2\Input2\Application.evtx,,,,,1.0,1.0,2010-11-21 03:58:31.1243721,1532.0,Info,Microsoft-Windows-User Profiles Service,Application,928.0,996.0,37L4247F27-25,0.0,S-1-5-18,,,,,,,,,,,False,Classic,0.0,"{""EventData"":""""}",,,,,,,,,,,,,,,,,,,
EvtxCmd,C:\Users\4n6\Desktop\MP2\Input2\Application.evtx,,,,,2.0,2.0,2025-01-17 19:21:16.0000000,4625.0,Info,Microsoft-Windows-EventSystem,Application,0.0,0.0,37L4247F27-25,0.0,,,,,,,,,,,,False,0x80000000000000,0.0,"{""EventData"":{""Data"":[{""@Name"":""param1"",""#text"":""86400""},{""@Name"":""param2"",""#text"":""SuppressDuplicateDuration""},{""@Name"":""param3"",""#text"":""Software\\Microsoft\\EventSystem\\EventLog""}]}}",,,,,,,,,,,,,,,,,,,
EvtxCmd,C:\Users\4n6\Desktop\MP2\Input2\Application.evtx,,,,,3.0,3.0,2025-01-17 19:21:15.9984360,1531.0,Info,Microsoft-Windows-User Profiles Service,Application,872.0,932.0,37L4247F27-25,0.0,S-1-5-18,,,,,,,,,,,False,Classic,0.0,"{""EventData"":""""}",,,,,,,,,,,,,,,,,,,
EvtxCmd,C:\Users\4n6\Desktop\MP2\Input2\Application.evtx,,,,,4.0,4.0,2025-01-17 19:21:16.0000000,5615.0,LogAlways,Microsoft-Windows-WMI,Application,0.0,0.0,37L4247F27-25,0.0,,,,,,,,,,,,False,0x80000000000000,0.0,"{""EventData"":{""Data"":"""",""Binary"":""""}}",,,,,,,,,,,,,,,,,,,
EvtxCmd,C:\Users\4n6\Desktop\MP2\Input2\Application.evtx,,,,,5.0,5.0,2025-01-17 19:21:16.0000000,5617.0,LogAlways,Microsoft-Windows-WMI,Application,0.0,0.0,37L4247F27-25,0.0,,,,,,,,,,,,False,0x80000000000000,0.0,"{""EventData"":{""Data"":"""",""Binary"":""""}}",,,,,,,,,,,,,,,,,,,
EvtxCmd,C:\Users\4n6\Desktop\MP2\Input2\Application.evtx,,,,,6.0,6.0,2025-01-17 19:21:36.0000000,1001.0,Info,Windows Error Reporting,Application,0.0,0.0,37L4247F27-25,0.0,,Application Crash,,,,,,,,,"0, PnPGenericDriverFound, Not available, 0, x64, PCI\VEN_15AD&amp;DEV_0405&amp;SUBSYS_040515AD&amp;REV_00, C:\ProgramData\Microsoft\Windows\WER\ReportQueue\NonCritical_x64_505c7fc25c7e5866de583f14c22e2b4c2a6018c_cab_07d8a247, 0, 4478cc73-d508-11ef-9a7f-84f0ba6ac80b, 6",False,0x80000000000000,0.0,"{""EventData"":{""Data"":""0, PnPGenericDriverFound, Not available, 0, x64, PCI\\VEN_15AD&amp;DEV_0405&amp;SUBSYS_040515AD&amp;REV_00, C:\\ProgramData\\Microsoft\\Windows\\WER\\ReportQueue\\NonCritical_x64_505c7fc25c7e5866de583f14c22e2b4c2a6018c_cab_07d8a247, 0, 4478cc73-d508-11ef-9a7f-84f0ba6ac80b, 6"",""Binary"":""""}}",,,,,,,,,,,,,,,,,,,
EvtxCmd,C:\Users\4n6\Desktop\MP2\Input2\Application.evtx,,,,,7.0,7.0,2025-01-17 19:21:39.0000000,1001.0,Info,Windows Error Reporting,Application,0.0,0.0,37L4247F27-25,0.0,,Application Crash,,,,,,,,,"0, PnPDriverNotFound, Not available, 0, x64, PCI\VEN_15AD&amp;DEV_0740&amp;SUBSYS_074015AD&amp;REV_10, 
C:\Windows\Temp\DMIAC64.tmp.log.xml, C:\ProgramData\Microsoft\Windows\WER\ReportQueue\NonCritical_x64_72da1383309c93bd2441accd728cf953e4fa97a_cab_00ecac64, 0, 4603f0e1-d508-11ef-9a7f-84f0ba6ac80b, 6",False,0x80000000000000,0.0,"{""EventData"":{""Data"":""0, PnPDriverNotFound, Not available, 0, x64, PCI\\VEN_15AD&amp;DEV_0740&amp;SUBSYS_074015AD&amp;REV_10, \nC:\\Windows\\Temp\\DMIAC64.tmp.log.xml, C:\\ProgramData\\Microsoft\\Windows\\WER\\ReportQueue\\NonCritical_x64_72da1383309c93bd2441accd728cf953e4fa97a_cab_00ecac64, 0, 4603f0e1-d508-11ef-9a7f-84f0ba6ac80b, 6"",""Binary"":""""}}",,,,,,,,,,,,,,,,,,,
